idx,rank,player,war
1,1,Walter Johnson,16.0
1,2,Babe Ruth,14.1
1,3,Dwight Gooden,13.2
1,4,Pete Alexander,12.8
1,5,Cy Young,12.6
1,6,Steve Carlton,12.5
1,7,Carl Yastrzemski,12.4
1,8,Ed Walsh,12.2
1,9,Roger Clemens,12.2
1,10,Rogers Hornsby,12.1
1,11,Hal Newhouser,12.0
1,12,Fergie Jenkins,11.9
1,13,Bob Gibson,11.9
1,14,Barry Bonds,11.9
1,15,Lou Gehrig,11.8
1,16,Pedro Martinez,11.7
1,17,Joe Wood,11.7
1,18,Wilbur Wood,11.7
1,19,Joe McGinnity,11.6
1,20,Eddie Cicotte,11.5
1,21,Russ Ford,11.5
1,22,Honus Wagner,11.5
1,23,Cal Ripken,11.5
1,24,Ty Cobb,11.3
1,25,Mickey Mantle,11.3
1,26,Red Faber,11.3
1,27,Willie Mays,11.2
1,28,Christy Mathewson,11.2
1,29,Gaylord Perry,11.2
1,30,Dizzy Trout,11.1
1,31,Stan Musial,11.1
1,32,Lefty Grove,11.1
1,33,Tom Seaver,11.0
1,34,Jack Chesbro,11.0
1,35,Wes Ferrell,11.0
1,36,Joe Morgan,10.9
1,37,Randy Johnson,10.9
1,38,Ted Williams,10.9
1,39,Dolf Luque,10.8
1,40,Mike Trout,10.8
1,41,Sandy Koufax,10.7
1,42,Rube Waddell,10.5
1,43,Robin Yount,10.5
1,44,Juan Marichal,10.5
1,45,Jimmie Foxx,10.5
1,46,Eddie Collins,10.5
1,47,Dazzy Vance,10.4
1,48,Phil Niekro,10.4
1,49,Zack Greinke,10.4
1,50,Lou Boudreau,10.4
1,51,Alex Rodriguez,10.4
1,52,Sammy Sosa,10.3
1,53,Ernie Banks,10.2
1,54,Dick Ellsworth,10.2
1,55,Jose Rijo,10.2
1,56,Jack Taylor,10.2
1,57,Jack Coombs,10.1
1,58,Al Rosen,10.1
1,59,Tris Speaker,10.1
1,60,Rico Petrocelli,10.0
1,61,Nap Lajoie,10.0
1,62,Bob Feller,9.9
1,63,Bryce Harper,9.9
1,64,Carl Hubbell,9.9
1,65,Rickey Henderson,9.9
1,66,Bert Blyleven,9.9
1,67,George Sisler,9.9
1,68,Robin Roberts,9.8
1,69,Larry Walker,9.8
1,70,Ron Santo,9.8
1,71,Bucky Walters,9.8
1,72,Bret Saberhagen,9.7
1,73,Stan Coveleski,9.7
1,74,Greg Maddux,9.7
1,75,Albert Pujols,9.7
1,76,Rod Carew,9.7
1,77,Mike Schmidt,9.7
1,78,Ken Griffey,9.7
1,79,Jackie Robinson,9.7
1,80,Mark Fidrych,9.6
1,81,Rick Reuschel,9.6
1,82,Bobby Shantz,9.6
1,83,Joe Jackson,9.6
1,84,Ron Guidry,9.6
1,85,Adrian Beltre,9.5
1,86,Ewell Blackwell,9.5
1,87,Warren Spahn,9.5
1,88,George Brett,9.4
1,89,Teddy Higuera,9.4
1,90,George McQuillan,9.4
1,91,Hank Aaron,9.4
1,92,Lefty Gomez,9.4
1,93,Terry Turner,9.4
1,94,Craig Biggio,9.4
1,95,Harry Heilmann,9.3
1,96,Dean Chance,9.3
1,97,Duke Snider,9.3
1,98,Dutch Leonard,9.3
1,99,Tom Glavine,9.3
1,100,Frank Baker,9.3
2,1,Walter Johnson,30.6
2,2,Babe Ruth,27.0
2,3,Pete Alexander,24.5
2,4,Barry Bonds,23.6
2,5,Ed Walsh,23.6
2,6,Bob Gibson,23.2
2,7,Rogers Hornsby,22.9
2,8,Carl Yastrzemski,22.9
2,9,Roger Clemens,22.7
2,10,Steve Carlton,22.7
2,11,Cy Young,22.7
2,12,Mickey Mantle,22.5
2,13,Wilbur Wood,22.3
2,14,Willie Mays,22.2
2,15,Lou Gehrig,22.2
2,16,Ty Cobb,22.0
2,17,Tom Seaver,22.0
2,18,Honus Wagner,21.6
2,19,Cal Ripken,21.5
2,20,Hal Newhouser,21.5
2,21,Ted Williams,21.5
2,22,Pedro Martinez,21.4
2,23,Christy Mathewson,21.4
2,24,Joe McGinnity,21.4
2,25,Lefty Grove,21.2
2,26,Eddie Cicotte,21.1
2,27,Sandy Koufax,21.0
2,28,Randy Johnson,20.9
2,29,Red Faber,20.9
2,30,Rube Waddell,20.8
2,31,Joe Morgan,20.6
2,32,Dazzy Vance,20.5
2,33,Stan Musial,20.5
2,34,Zack Greinke,20.3
2,35,Juan Marichal,20.3
2,36,Eddie Collins,20.2
2,37,Mike Trout,20.1
2,38,Wes Ferrell,20.1
2,39,Tris Speaker,20.0
2,40,Nap Lajoie,19.9
2,41,Bob Feller,19.8
2,42,Rickey Henderson,19.8
2,43,Gaylord Perry,19.8
2,44,Alex Rodriguez,19.8
2,45,Fergie Jenkins,19.8
2,46,Jimmie Foxx,19.7
2,47,Ernie Banks,19.6
2,48,Phil Niekro,19.3
2,49,Jackie Robinson,19.3
2,50,Greg Maddux,19.2
2,51,Dwight Gooden,19.0
2,52,Albert Pujols,18.9
2,53,Robin Roberts,18.9
2,54,Carl Hubbell,18.8
2,55,Ken Griffey,18.8
2,56,Dizzy Trout,18.8
2,57,Joe Jackson,18.7
2,58,Ron Santo,18.7
2,59,George Sisler,18.6
2,60,Warren Spahn,18.6
2,61,Mike Schmidt,18.5
2,62,Russ Ford,18.5
2,63,Hank Aaron,18.5
2,64,Stan Coveleski,18.4
2,65,Lou Boudreau,18.3
2,66,Joe Wood,18.1
2,67,George Brett,18.0
2,68,Duke Snider,17.9
2,69,Arky Vaughan,17.8
2,70,Bert Blyleven,17.8
2,71,Robin Yount,17.7
2,72,Bret Saberhagen,17.7
2,73,Larry Walker,17.6
2,74,Lefty Gomez,17.6
2,75,Rod Carew,17.5
2,76,Jim Bagby,17.5
2,77,Curt Schilling,17.5
2,78,Wade Boggs,17.4
2,79,Dick Allen,17.4
2,80,Kevin Appier,17.3
2,81,Dolf Luque,17.3
2,82,Adrian Beltre,17.3
2,83,Jim Bunning,17.3
2,84,Nap Rucker,17.3
2,85,Ben Zobrist,17.3
2,86,Joe DiMaggio,17.2
2,87,Vic Willis,17.2
2,88,Chase Utley,17.2
2,89,Roy Halladay,17.2
2,90,Snuffy Stirnweiss,17.2
2,91,Frank Baker,17.2
2,92,Roberto Clemente,17.1
2,93,Todd Helton,17.1
2,94,Kevin Brown,17.1
2,95,Mordecai Brown,17.0
2,96,Reggie Jackson,17.0
2,97,Jason Giambi,16.9
2,98,Ichiro Suzuki,16.8
2,99,Teddy Higuera,16.8
2,100,Mel Ott,16.8
3,1,Walter Johnson,43.6
3,2,Babe Ruth,39.3
3,3,Pete Alexander,35.3
3,4,Barry Bonds,34.2
3,5,Ed Walsh,34.1
3,6,Bob Gibson,33.3
3,7,Rogers Hornsby,33.3
3,8,Mickey Mantle,33.0
3,9,Willie Mays,32.9
3,10,Cy Young,32.7
3,11,Ty Cobb,32.5
3,12,Carl Yastrzemski,32.4
3,13,Roger Clemens,32.2
3,14,Ted Williams,32.1
3,15,Lou Gehrig,31.8
3,16,Christy Mathewson,31.6
3,17,Honus Wagner,31.0
3,18,Lefty Grove,30.8
3,19,Tom Seaver,30.4
3,20,Joe McGinnity,30.4
