idx,rank,player,playerid,war
1,1,Walter Johnson,johnswa01,16.0
1,2,Babe Ruth,ruthba01,14.1
1,3,Dwight Gooden,goodedw01,13.2
1,4,Pete Alexander,alexape01,12.8
1,5,Cy Young,youngcy01,12.6
1,6,Steve Carlton,carltst01,12.5
1,7,Carl Yastrzemski,yastrca01,12.4
1,8,Ed Walsh,walshed01,12.2
1,9,Roger Clemens,clemero02,12.2
1,10,Rogers Hornsby,hornsro01,12.1
1,11,Hal Newhouser,newhoha01,12.0
1,12,Fergie Jenkins,jenkife01,11.9
1,13,Bob Gibson,gibsobo01,11.9
1,14,Barry Bonds,bondsba01,11.9
1,15,Lou Gehrig,gehrilo01,11.8
1,16,Pedro Martinez,martipe02,11.7
1,17,Joe Wood,woodjo02,11.7
1,18,Wilbur Wood,woodwi01,11.7
1,19,Joe McGinnity,mcginjo01,11.6
1,20,Eddie Cicotte,cicoted01,11.5
1,21,Russ Ford,fordru01,11.5
1,22,Honus Wagner,wagneho01,11.5
1,23,Cal Ripken,ripkeca01,11.5
1,24,Ty Cobb,cobbty01,11.3
1,25,Mickey Mantle,mantlmi01,11.3
1,26,Red Faber,faberre01,11.3
1,27,Willie Mays,mayswi01,11.2
1,28,Christy Mathewson,mathech01,11.2
1,29,Gaylord Perry,perryga01,11.2
1,30,Dizzy Trout,troutdi01,11.1
1,31,Stan Musial,musiast01,11.1
1,32,Lefty Grove,grovele01,11.1
1,33,Tom Seaver,seaveto01,11.0
1,34,Jack Chesbro,chesbja01,11.0
1,35,Wes Ferrell,ferrewe01,11.0
1,36,Joe Morgan,morgajo02,10.9
1,37,Randy Johnson,johnsra05,10.9
1,38,Ted Williams,willite01,10.9
1,39,Dolf Luque,luquedo01,10.8
1,40,Mike Trout,troutmi01,10.8
1,41,Sandy Koufax,koufasa01,10.7
1,42,Rube Waddell,wadderu01,10.5
1,43,Robin Yount,yountro01,10.5
1,44,Juan Marichal,maricju01,10.5
1,45,Jimmie Foxx,foxxji01,10.5
1,46,Eddie Collins,collied01,10.5
1,47,Dazzy Vance,vanceda01,10.4
1,48,Phil Niekro,niekrph01,10.4
1,49,Zack Greinke,greinza01,10.4
1,50,Lou Boudreau,boudrlo01,10.4
1,51,Alex Rodriguez,rodrial01,10.4
1,52,Sammy Sosa,sosasa01,10.3
1,53,Ernie Banks,bankser01,10.2
1,54,Dick Ellsworth,ellswdi01,10.2
1,55,Jose Rijo,rijojo01,10.2
1,56,Jack Taylor,tayloja02,10.2
1,57,Jack Coombs,coombja01,10.1
1,58,Al Rosen,rosenal01,10.1
1,59,Tris Speaker,speaktr01,10.1
1,60,Rico Petrocelli,petrori01,10.0
1,61,Nap Lajoie,lajoina01,10.0
1,62,Bob Feller,fellebo01,9.9
1,63,Bryce Harper,harpebr03,9.9
1,64,Carl Hubbell,hubbeca01,9.9
1,65,Rickey Henderson,henderi01,9.9
1,66,Bert Blyleven,blylebe01,9.9
1,67,George Sisler,sislege01,9.9
1,68,Robin Roberts,roberro01,9.8
1,69,Larry Walker,walkela01,9.8
1,70,Ron Santo,santoro01,9.8
1,71,Bucky Walters,waltebu01,9.8
1,72,Bret Saberhagen,saberbr01,9.7
1,73,Stan Coveleski,covelst01,9.7
1,74,Greg Maddux,maddugr01,9.7
1,75,Albert Pujols,pujolal01,9.7
1,76,Rod Carew,carewro01,9.7
1,77,Mike Schmidt,schmimi01,9.7
1,78,Ken Griffey,griffke02,9.7
1,79,Jackie Robinson,robinja02,9.7
1,80,Mark Fidrych,fidryma01,9.6
1,81,Rick Reuschel,reuscri01,9.6
1,82,Bobby Shantz,shantbo01,9.6
1,83,Joe Jackson,jacksjo01,9.6
1,84,Ron Guidry,guidrro01,9.6
1,85,Adrian Beltre,beltrad01,9.5
1,86,Ewell Blackwell,blackew01,9.5
1,87,Warren Spahn,spahnwa01,9.5
1,88,George Brett,brettge01,9.4
1,89,Teddy Higuera,higuete01,9.4
1,90,George McQuillan,mcquige01,9.4
1,91,Hank Aaron,aaronha01,9.4
1,92,Lefty Gomez,gomezle01,9.4
1,93,Terry Turner,turnete01,9.4
1,94,Craig Biggio,biggicr01,9.4
1,95,Harry Heilmann,heilmha01,9.3
1,96,Dean Chance,chancde01,9.3
1,97,Duke Snider,snidedu01,9.3
1,98,Dutch Leonard,leonadu01,9.3
1,99,Tom Glavine,glavito02,9.3
1,100,Frank Baker,bakerfr01,9.3
1,101,Kevin Appier,appieke01,9.3
1,102,Reggie Jackson,jacksre01,9.2
1,103,Frankie Frisch,friscfr01,9.2
1,104,Thornton Lee,leeth01,9.2
1,105,Arky Vaughan,vaughar01,9.2
1,106,Irv Young,youngir01,9.2
1,107,Norm Cash,cashno01,9.2
1,108,Cliff Lee,leecl02,9.2
1,109,Scott Rolen,rolensc01,9.1
1,110,Jason Giambi,giambja01,9.1
1,111,Ichiro Suzuki,suzukic01,9.1
1,112,Reb Russell,russere01,9.1
1,113,Vean Gregg,greggve01,9.1
1,114,Kevin Brown,brownke01,9.1
1,115,Dizzy Dean,deandi01,9.1
1,116,Jon Matlack,matlajo01,9.1
1,117,Joe DiMaggio,dimagjo01,9.1
1,118,Wade Boggs,boggswa01,9.1
1,119,Vida Blue,bluevi01,9.0
1,120,Chase Utley,utleych01,9.0
1,121,Noodles Hahn,hahnno01,9.0
1,122,Darrell Evans,evansda01,9.0
1,123,Jim Maloney,malonji01,9.0
1,124,Eddie Plank,planked01,9.0
1,125,Jake Arrieta,arrieja01,9.0
1,126,Roberto Clemente,clemero01,8.9
1,127,Nap Rucker,ruckena01,8.9
1,128,Mel Ott,ottme01,8.9
1,129,Roy Halladay,hallaro01,8.9
1,130,Jim Bunning,bunniji01,8.9
1,131,Harry Brecheen,brechha01,8.9
1,132,Jim Bagby,bagbyji01,8.9
1,133,Lenny Dykstra,dykstle01,8.9
1,134,Fred Lynn,lynnfr01,8.8
1,135,Todd Helton,heltoto01,8.8
1,136,Mordecai Brown,brownmo01,8.8
1,137,Josh Donaldson,donaljo02,8.8
1,138,Vic Willis,willivi01,8.8
1,139,Bret Boone,boonebr01,8.8
1,140,Dick Allen,allendi01,8.8
1,141,Paul Goldschmidt,goldspa01,8.8
1,142,Babe Adams,adamsba01,8.8
1,143,Lonnie Smith,smithlo01,8.8
1,144,Curt Schilling,schilcu01,8.8
1,145,Hal Carlson,carlsha01,8.8
1,146,George Uhle,uhlege01,8.7
1,147,Frank Robinson,robinfr02,8.7
1,148,Josh Hamilton,hamiljo03,8.7
1,149,Mark Langston,langsma01,8.7
1,150,Johan Santana,santajo02,8.7
2,1,Walter Johnson,johnswa01,30.6
2,2,Babe Ruth,ruthba01,27.0
2,3,Pete Alexander,alexape01,24.5
2,4,Barry Bonds,bondsba01,23.6
2,5,Ed Walsh,walshed01,23.6
2,6,Bob Gibson,gibsobo01,23.2
2,7,Rogers Hornsby,hornsro01,22.9
2,8,Carl Yastrzemski,yastrca01,22.9
2,9,Roger Clemens,clemero02,22.7
2,10,Steve Carlton,carltst01,22.7
2,11,Cy Young,youngcy01,22.7
2,12,Mickey Mantle,mantlmi01,22.5
2,13,Wilbur Wood,woodwi01,22.3
2,14,Willie Mays,mayswi01,22.2
2,15,Lou Gehrig,gehrilo01,22.2
2,16,Ty Cobb,cobbty01,22.0
2,17,Tom Seaver,seaveto01,22.0
2,18,Honus Wagner,wagneho01,21.6
2,19,Cal Ripken,ripkeca01,21.5
2,20,Hal Newhouser,newhoha01,21.5
2,21,Ted Williams,willite01,21.5
2,22,Pedro Martinez,martipe02,21.4
2,23,Christy Mathewson,mathech01,21.4
2,24,Joe McGinnity,mcginjo01,21.4
2,25,Lefty Grove,grovele01,21.2
2,26,Eddie Cicotte,cicoted01,21.1
2,27,Sandy Koufax,koufasa01,21.0
2,28,Randy Johnson,johnsra05,20.9
2,29,Red Faber,faberre01,20.9
2,30,Rube Waddell,wadderu01,20.8
2,31,Joe Morgan,morgajo02,20.6
2,32,Dazzy Vance,vanceda01,20.5
2,33,Stan Musial,musiast01,20.5
2,34,Zack Greinke,greinza01,20.3
2,35,Juan Marichal,maricju01,20.3
2,36,Eddie Collins,collied01,20.2
2,37,Mike Trout,troutmi01,20.1
2,38,Wes Ferrell,ferrewe01,20.1
2,39,Tris Speaker,speaktr01,20.0
2,40,Nap Lajoie,lajoina01,19.9
2,41,Bob Feller,fellebo01,19.8
2,42,Rickey Henderson,henderi01,19.8
2,43,Gaylord Perry,perryga01,19.8
2,44,Alex Rodriguez,rodrial01,19.8
2,45,Fergie Jenkins,jenkife01,19.8
2,46,Jimmie Foxx,foxxji01,19.7
2,47,Ernie Banks,bankser01,19.6
2,48,Phil Niekro,niekrph01,19.3
2,49,Jackie Robinson,robinja02,19.3
2,50,Greg Maddux,maddugr01,19.2
2,51,Dwight Gooden,goodedw01,19.0
2,52,Albert Pujols,pujolal01,18.9
2,53,Robin Roberts,roberro01,18.9
2,54,Carl Hubbell,hubbeca01,18.8
2,55,Ken Griffey,griffke02,18.8
2,56,Dizzy Trout,troutdi01,18.8
2,57,Joe Jackson,jacksjo01,18.7
2,58,Ron Santo,santoro01,18.7
2,59,George Sisler,sislege01,18.6
2,60,Warren Spahn,spahnwa01,18.6
2,61,Mike Schmidt,schmimi01,18.5
2,62,Russ Ford,fordru01,18.5
2,63,Hank Aaron,aaronha01,18.5
2,64,Stan Coveleski,covelst01,18.4
2,65,Lou Boudreau,boudrlo01,18.3
2,66,Joe Wood,woodjo02,18.1
2,67,George Brett,brettge01,18.0
2,68,Duke Snider,snidedu01,17.9
2,69,Arky Vaughan,vaughar01,17.8
2,70,Bert Blyleven,blylebe01,17.8
2,71,Robin Yount,yountro01,17.7
2,72,Bret Saberhagen,saberbr01,17.7
2,73,Larry Walker,walkela01,17.6
2,74,Lefty Gomez,gomezle01,17.6
2,75,Rod Carew,carewro01,17.5
2,76,Jim Bagby,bagbyji01,17.5
2,77,Curt Schilling,schilcu01,17.5
2,78,Wade Boggs,boggswa01,17.4
2,79,Dick Allen,allendi01,17.4
2,80,Kevin Appier,appieke01,17.3
2,81,Dolf Luque,luquedo01,17.3
2,82,Adrian Beltre,beltrad01,17.3
2,83,Jim Bunning,bunniji01,17.3
2,84,Nap Rucker,ruckena01,17.3
2,85,Ben Zobrist,zobribe01,17.3
2,86,Joe DiMaggio,dimagjo01,17.2
2,87,Vic Willis,willivi01,17.2
2,88,Chase Utley,utleych01,17.2
2,89,Roy Halladay,hallaro01,17.2
2,90,Snuffy Stirnweiss,stirnsn01,17.2
2,91,Frank Baker,bakerfr01,17.2
2,92,Roberto Clemente,clemero01,17.1
2,93,Todd Helton,heltoto01,17.1
2,94,Kevin Brown,brownke01,17.1
2,95,Mordecai Brown,brownmo01,17.0
2,96,Reggie Jackson,jacksre01,17.0
2,97,Jason Giambi,giambja01,16.9
2,98,Ichiro Suzuki,suzukic01,16.8
2,99,Teddy Higuera,higuete01,16.8
2,100,Mel Ott,ottme01,16.8
2,101,Noodles Hahn,hahnno01,16.8
2,102,Bucky Walters,waltebu01,16.7
2,103,Vida Blue,bluevi01,16.7
2,104,Cliff Lee,leecl02,16.7
2,105,Sammy Sosa,sosasa01,16.7
2,106,Frankie Frisch,friscfr01,16.7
2,107,Ewell Blackwell,blackew01,16.7
