pl,vt,old,new
Larry Walker,Adam Rubin,0,0
Roger Clemens,Adam Rubin,1,1
Curt Schilling,Adam Rubin,1,1
Mike Piazza,Adam Rubin,1,1
Lee Smith,Adam Rubin,0,1
Barry Bonds,Adam Rubin,1,1
Jeff Kent,Adam Rubin,0,0
Edgar Martinez,Adam Rubin,0,0
Jeff Bagwell,Adam Rubin,1,1
Mark McGwire,Adam Rubin,0,0
Tim Raines,Adam Rubin,1,1
Nomar Garciaparra,Adam Rubin,0,0
Mike Mussina,Adam Rubin,0,0
Gary Sheffield,Adam Rubin,0,0
Fred McGriff,Adam Rubin,0,0
Alan Trammell,Adam Rubin,0,1
Sammy Sosa,Adam Rubin,0,0
Larry Walker,Alan Greenwood,0,0
Roger Clemens,Alan Greenwood,1,1
Curt Schilling,Alan Greenwood,1,1
Mike Piazza,Alan Greenwood,1,1
Lee Smith,Alan Greenwood,0,0
Barry Bonds,Alan Greenwood,1,1
Jeff Kent,Alan Greenwood,0,0
Edgar Martinez,Alan Greenwood,0,0
Jeff Bagwell,Alan Greenwood,1,1
Mark McGwire,Alan Greenwood,0,0
Tim Raines,Alan Greenwood,1,1
Nomar Garciaparra,Alan Greenwood,0,0
Mike Mussina,Alan Greenwood,0,0
Gary Sheffield,Alan Greenwood,0,0
Fred McGriff,Alan Greenwood,0,0
Alan Trammell,Alan Greenwood,0,1
Sammy Sosa,Alan Greenwood,0,0
Larry Walker,Aurelio Moreno,0,0
Roger Clemens,Aurelio Moreno,1,1
Curt Schilling,Aurelio Moreno,0,0
Mike Piazza,Aurelio Moreno,1,1
Lee Smith,Aurelio Moreno,0,0
Barry Bonds,Aurelio Moreno,1,1
Jeff Kent,Aurelio Moreno,0,0
Edgar Martinez,Aurelio Moreno,0,1
Jeff Bagwell,Aurelio Moreno,0,1
Mark McGwire,Aurelio Moreno,1,1
Tim Raines,Aurelio Moreno,0,0
Nomar Garciaparra,Aurelio Moreno,0,0
Mike Mussina,Aurelio Moreno,0,0
Gary Sheffield,Aurelio Moreno,0,0
Fred McGriff,Aurelio Moreno,0,0
Alan Trammell,Aurelio Moreno,0,0
Sammy Sosa,Aurelio Moreno,1,1
Larry Walker,Barry Bloom,0,0
Roger Clemens,Barry Bloom,1,1
Curt Schilling,Barry Bloom,1,0
Mike Piazza,Barry Bloom,1,1
Lee Smith,Barry Bloom,0,1
Barry Bonds,Barry Bloom,1,1
Jeff Kent,Barry Bloom,0,0
Edgar Martinez,Barry Bloom,0,0
Jeff Bagwell,Barry Bloom,1,1
Mark McGwire,Barry Bloom,0,0
Tim Raines,Barry Bloom,0,1
Nomar Garciaparra,Barry Bloom,0,0
Mike Mussina,Barry Bloom,1,1
Gary Sheffield,Barry Bloom,0,0
Fred McGriff,Barry Bloom,0,0
Alan Trammell,Barry Bloom,0,1
Sammy Sosa,Barry Bloom,0,0
Larry Walker,Barry Rozner,0,0
Roger Clemens,Barry Rozner,0,0
Curt Schilling,Barry Rozner,1,1
Mike Piazza,Barry Rozner,1,1
Lee Smith,Barry Rozner,1,1
Barry Bonds,Barry Rozner,1,1
Jeff Kent,Barry Rozner,0,1
Edgar Martinez,Barry Rozner,0,0
Jeff Bagwell,Barry Rozner,0,1
Mark McGwire,Barry Rozner,0,0
Tim Raines,Barry Rozner,1,1
Nomar Garciaparra,Barry Rozner,0,0
Mike Mussina,Barry Rozner,1,1
Gary Sheffield,Barry Rozner,0,0
Fred McGriff,Barry Rozner,0,0
Alan Trammell,Barry Rozner,0,0
Sammy Sosa,Barry Rozner,0,0
Larry Walker,Bernie Miklasz,0,1
Roger Clemens,Bernie Miklasz,1,1
Curt Schilling,Bernie Miklasz,1,1
Mike Piazza,Bernie Miklasz,1,1
Lee Smith,Bernie Miklasz,0,0
Barry Bonds,Bernie Miklasz,1,1
Jeff Kent,Bernie Miklasz,0,0
Edgar Martinez,Bernie Miklasz,0,0
Jeff Bagwell,Bernie Miklasz,1,1
Mark McGwire,Bernie Miklasz,0,0
Tim Raines,Bernie Miklasz,1,1
Nomar Garciaparra,Bernie Miklasz,0,0
Mike Mussina,Bernie Miklasz,1,1
Gary Sheffield,Bernie Miklasz,0,0
Fred McGriff,Bernie Miklasz,0,0
Alan Trammell,Bernie Miklasz,0,1
Sammy Sosa,Bernie Miklasz,0,0
Larry Walker,Bernie Wilson,0,0
Roger Clemens,Bernie Wilson,0,0
Curt Schilling,Bernie Wilson,0,0
Mike Piazza,Bernie Wilson,1,1
Lee Smith,Bernie Wilson,1,1
Barry Bonds,Bernie Wilson,0,0
Jeff Kent,Bernie Wilson,0,0
Edgar Martinez,Bernie Wilson,0,0
Jeff Bagwell,Bernie Wilson,1,1
Mark McGwire,Bernie Wilson,0,0
Tim Raines,Bernie Wilson,0,1
Nomar Garciaparra,Bernie Wilson,0,0
Mike Mussina,Bernie Wilson,0,1
Gary Sheffield,Bernie Wilson,0,1
Fred McGriff,Bernie Wilson,0,1
Alan Trammell,Bernie Wilson,1,1
Sammy Sosa,Bernie Wilson,0,0
Larry Walker,Bill Ballou,0,0
Roger Clemens,Bill Ballou,1,1
Curt Schilling,Bill Ballou,0,0
Mike Piazza,Bill Ballou,1,1
Lee Smith,Bill Ballou,0,0
Barry Bonds,Bill Ballou,1,1
Jeff Kent,Bill Ballou,0,0
Edgar Martinez,Bill Ballou,0,0
Jeff Bagwell,Bill Ballou,1,1
Mark McGwire,Bill Ballou,1,1
Tim Raines,Bill Ballou,0,0
Nomar Garciaparra,Bill Ballou,0,0
Mike Mussina,Bill Ballou,0,0
Gary Sheffield,Bill Ballou,0,0
Fred McGriff,Bill Ballou,0,0
Alan Trammell,Bill Ballou,0,0
Sammy Sosa,Bill Ballou,0,0
Larry Walker,Bob Hertzel,0,1
Roger Clemens,Bob Hertzel,1,1
Curt Schilling,Bob Hertzel,0,0
Mike Piazza,Bob Hertzel,0,1
Lee Smith,Bob Hertzel,0,0
Barry Bonds,Bob Hertzel,1,1
Jeff Kent,Bob Hertzel,0,0
Edgar Martinez,Bob Hertzel,0,0
Jeff Bagwell,Bob Hertzel,0,0
