namefull,playerid,yearid,war,current_candidate
Hank Aaron,aaronha01,1961,9.3900,0
Hank Aaron,aaronha01,1963,9.1000,0
Hank Aaron,aaronha01,1959,8.6200,0
Hank Aaron,aaronha01,1967,8.5200,0
Hank Aaron,aaronha01,1962,8.4600,0
Hank Aaron,aaronha01,1969,8.0300,0
Hank Aaron,aaronha01,1957,7.9900,0
Hank Aaron,aaronha01,1960,7.9800,0
Hank Aaron,aaronha01,1965,7.8500,0
Hank Aaron,aaronha01,1966,7.7700,0
Hank Aaron,aaronha01,1958,7.3100,0
Hank Aaron,aaronha01,1971,7.2500,0
Hank Aaron,aaronha01,1956,7.1200,0
Hank Aaron,aaronha01,1968,6.8100,0
Hank Aaron,aaronha01,1964,6.8000,0
Hank Aaron,aaronha01,1955,6.2300,0
Hank Aaron,aaronha01,1970,4.9900,0
Hank Aaron,aaronha01,1973,4.6500,0
Hank Aaron,aaronha01,1972,3.9200,0
Hank Aaron,aaronha01,1974,2.0700,0
Hank Aaron,aaronha01,1954,1.2700,0
Hank Aaron,aaronha01,1976,0.4200,0
Hank Aaron,aaronha01,1975,0.0200,0
Pete Alexander,alexape01,1920,12.8100,0
Pete Alexander,alexape01,1916,11.6800,0
Pete Alexander,alexape01,1915,10.7600,0
Pete Alexander,alexape01,1917,9.8800,0
Pete Alexander,alexape01,1914,8.8800,0
Pete Alexander,alexape01,1911,8.0000,0
Pete Alexander,alexape01,1919,7.5900,0
Pete Alexander,alexape01,1927,6.4300,0
Pete Alexander,alexape01,1912,6.3500,0
Pete Alexander,alexape01,1913,6.3100,0
Pete Alexander,alexape01,1921,5.3900,0
Pete Alexander,alexape01,1923,5.2200,0
Pete Alexander,alexape01,1925,4.8600,0
Pete Alexander,alexape01,1922,4.3900,0
Pete Alexander,alexape01,1928,4.1100,0
Pete Alexander,alexape01,1926,3.1900,0
Pete Alexander,alexape01,1924,2.1700,0
Pete Alexander,alexape01,1929,1.9700,0
Pete Alexander,alexape01,1918,0.5700,0
Pete Alexander,alexape01,1930,-0.5200,0
Roberto Alomar,alomaro01,1999,7.4100,0
Roberto Alomar,alomaro01,2001,7.2900,0
Roberto Alomar,alomaro01,1992,6.6400,0
Roberto Alomar,alomaro01,1993,6.1000,0
Roberto Alomar,alomaro01,2000,5.5700,0
Roberto Alomar,alomaro01,1996,5.2700,0
Roberto Alomar,alomaro01,1991,4.5400,0
Roberto Alomar,alomaro01,1989,4.4300,0
Roberto Alomar,alomaro01,1988,4.3300,0
Roberto Alomar,alomaro01,1998,3.7400,0
Roberto Alomar,alomaro01,1997,3.4300,0
Roberto Alomar,alomaro01,1990,3.3800,0
Roberto Alomar,alomaro01,1995,2.6800,0
Roberto Alomar,alomaro01,1994,2.2400,0
Roberto Alomar,alomaro01,2002,0.6000,0
Roberto Alomar,alomaro01,2003,-0.1500,0
Roberto Alomar,alomaro01,2004,-0.7100,0
Luis Aparicio,aparilu01,1960,5.5800,0
Luis Aparicio,aparilu01,1964,5.1700,0
Luis Aparicio,aparilu01,1970,4.8200,0
Luis Aparicio,aparilu01,1969,4.7100,0
Luis Aparicio,aparilu01,1958,4.2400,0
Luis Aparicio,aparilu01,1966,4.1400,0
Luis Aparicio,aparilu01,1965,4.0100,0
Luis Aparicio,aparilu01,1968,3.3900,0
Luis Aparicio,aparilu01,1959,3.2600,0
Luis Aparicio,aparilu01,1957,3.1200,0
Luis Aparicio,aparilu01,1961,2.9000,0
Luis Aparicio,aparilu01,1973,2.6200,0
Luis Aparicio,aparilu01,1963,2.5400,0
Luis Aparicio,aparilu01,1972,2.0200,0
Luis Aparicio,aparilu01,1962,1.6400,0
Luis Aparicio,aparilu01,1956,1.4900,0
Luis Aparicio,aparilu01,1967,0.5700,0
Luis Aparicio,aparilu01,1971,-0.5000,0
Ernie Banks,bankser01,1959,10.2300,0
Ernie Banks,bankser01,1958,9.4100,0
Ernie Banks,bankser01,1955,8.1100,0
Ernie Banks,bankser01,1960,7.8400,0
Ernie Banks,bankser01,1957,6.4100,0
Ernie Banks,bankser01,1956,5.3000,0
Ernie Banks,bankser01,1961,4.5600,0
Ernie Banks,bankser01,1968,3.4500,0
Ernie Banks,bankser01,1964,3.1000,0
Ernie Banks,bankser01,1962,2.8000,0
Ernie Banks,bankser01,1967,2.4300,0
Ernie Banks,bankser01,1954,2.4000,0
Ernie Banks,bankser01,1965,1.9000,0
Ernie Banks,bankser01,1953,0.4800,0
Ernie Banks,bankser01,1966,0.3400,0
Ernie Banks,bankser01,1963,0.2800,0
Ernie Banks,bankser01,1970,-0.2100,0
Ernie Banks,bankser01,1971,-0.6500,0
Ernie Banks,bankser01,1969,-0.7400,0
Johnny Bench,benchjo01,1972,8.5700,0
Johnny Bench,benchjo01,1974,7.8200,0
Johnny Bench,benchjo01,1970,7.4300,0
Johnny Bench,benchjo01,1975,6.5900,0
Johnny Bench,benchjo01,1969,6.1200,0
Johnny Bench,benchjo01,1979,5.5600,0
Johnny Bench,benchjo01,1968,4.9900,0
Johnny Bench,benchjo01,1977,4.9700,0
Johnny Bench,benchjo01,1973,4.7300,0
Johnny Bench,benchjo01,1976,4.6200,0
Johnny Bench,benchjo01,1978,4.4400,0
Johnny Bench,benchjo01,1971,4.0500,0
Johnny Bench,benchjo01,1980,3.3400,0
Johnny Bench,benchjo01,1981,1.1500,0
Johnny Bench,benchjo01,1983,1.1000,0
Johnny Bench,benchjo01,1982,-0.0200,0
