brewery,lon,lat,beer,beer_style,menu_beer_style,abv,ibu,ratebeer,beeradvocate,barank,brewery_rating
Ballast Point,117.1625,32.715,Sculpin,IPA,IPA,7,65,99,93,44,92
Oskar Blues,105.1,40.1717,Dales Pale Ale,Pale Ale,Pale Ale,6.5,65,98,93,0,89
Oskar Blues,105.1,40.1717,Deviant Dales,Double-IPA,Double-IPA,8,90,98,93,0,89
Firestone Walker,120.65,35.64,Sucaba,Barleywine,Strong Ale,10.5,85,100,99,14,99
Firestone Walker,120.65,35.64,Union Jack,IPA,IPA,7.5,60,99,92,0,99
Elysian,122.333,47.61,The Immortal,IPA,IPA,6.3,55,93,87,0,87
Dogfish Head,75.3128,38.78,Indian Brown Ale,Brown,Brown,7.2,65,99,83,0,92
Laurelwood,122.61,45.54,Organic Free Range Red,Pale Ale,Pale Ale,6.2,60,85,85,0,90
Alaskan,134.42,58.3,Big Mountain Pale Ale,Pale Ale,Pale Ale,5.7,0,0,0,0,85
Breakside,122.61,45.54,Woodlawn,Pale Ale,Pale Ale,5.4,0,0,0,0,85
Elysian,122.333,47.61,Mens Room Red,Amber,Amber/Red,5.6,0,0,0,0,85
Dogfish Head,75.3128,38.78,Raison DExtra,Strong Ale,Strong Ale,18.5,0,0,0,0,85
North Coast,123.805,39.45,Pranqster,Belgian,Belgian,7.6,0,0,0,0,85
10 Barrel,121.3,44.05,Apricot Crush,Wheat,Wheat,4.2,0,0,0,0,85
Grand Teton,111.1122,43.603,Trout Hop,Black IPA,Dark Ale,8.5,0,0,0,0,85
Alaskan,134.42,58.3,Double Dark,Black IPA,Dark Ale,8.5,0,0,0,0,85
Firestone Walker,120.65,35.64,Wookey Jack,Black IPA,Dark Ale,8.3,0,0,0,0,85
Evil Twin,73.99,40.693,Yin & Yang,Black IPA,Dark Ale,11,0,0,0,0,85
Crispin,120.954,39.097,Original,Cider,Cider,5,0,0,0,0,85
Seattle Cider,122.333,47.61,Dry,Cider,Cider,6.5,0,0,0,0,85
Hales,122.333,47.61,Cream Ale,Cream Ale,Light Ale/Lager,5.1,0,0,0,0,85
Great Divide,104.881,39.762,Peach Grand Cru,Fruit Beer,Specialty/Seasonal,12,0,0,0,0,85
Lost Coast,124.16,40.8,Tangerine Wheat,Wheat,Wheat,5.5,0,0,0,0,85
Iron Goat,117.377841,47.665232,Trashy Blonde,Pale Ale,Pale Ale,5,0,0,0,0,85
Georgetown,122.318031,47.55032,Oharov,Stout,Stout/Porter,8.3,0,0,0,0,85
North Coast,123.805,39.45,Old Rasputin,Stout,Stout/Porter,9,0,0,0,0,85
Iron Goat,117.377841,47.665232,Manito Triple,Triple-IPA,Double-IPA,10.5,0,0,0,0,85
GoodLife,121.3,44.05,Descender,IPA,IPA,7,0,0,0,0,85
Stone,117.0808,33.1247,Enjoy By 2-14-2015,Double-IPA,Double-IPA,9.4,0,0,0,0,85
Pelican,123.97055,45.215294,Red Lantern IPA,IPA,IPA,6.4,0,0,0,0,85
Bale Breaker,120.435441,46.577138,Topcutter,IPA,IPA,6.8,0,0,0,0,85
Icicle,120.67,47.596,Crosscut,Lager,Light Ale/Lager,5,0,0,0,0,85
Dogfish Head,75.3128,38.78,Piercing Pils,Pilsener,Light Ale/Lager,6,0,0,0,0,85
Black Raven,122.14498,47.685806,Tamerlane,Porter,Stout/Porter,5.9,0,0,0,0,85
New Belgium,105.07,40.548,Portage,Porter,Stout/Porter,6,0,0,0,0,85
Firestone Walker,120.65,35.64,Double Barrel Ale (DBA),Pale Ale,Pale Ale,5,0,0,0,0,85
pFriem,121.518981,45.714865,Schwarzbier,Schwarzbier,Dark Ale,4.8,0,0,0,0,85
Oskar Blues,105.1,40.1717,Old Chub,Scotch Ale,Specialty/Seasonal,8,0,0,0,0,85
Black Raven,122.14498,47.685806,Son of Birdserker,SIPA,Pale Ale,5,0,0,0,0,85
New Belgium,105.07,40.548,Slow Ride,SIPA,Pale Ale,4.5,0,0,0,0,85
Ninkasi,123.109474,44.056868,The Devil Went Down To Oregon,Seasonal,Specialty/Seasonal,7.2,0,0,0,0,85
Ballast Point,117.1625,32.715,Indra Kunindra,Spice/Herb/Vegatable,Specialty/Seasonal,7,0,0,0,0,85
Icicle,120.67,47.596,Dark Persuasion,Spice/Herb/Vegatable,Specialty/Seasonal,0,0,0,0,0,85
River City,117.43206,47.65581,Midnight Marmot,Stout,Stout/Porter,0,0,0,0,0,85
Firestone Walker,120.65,35.64,Velvet Mocha Merlin,Stout,Stout/Porter,5.5,0,0,0,0,85
River City,117.43206,47.65581,Deep Thaw,Winter Ale,Specialty/Seasonal,8.1,0,0,0,0,85
