year,value,park,name
1983,-0.01318157,ARL01,Arlington Stadium
1983,0.00388130,ATL01,Atlanta-Fulton County Stadium
1983,-0.01673244,BAL11,Memorial Stadium
1983,0.01069450,BOS07,Fenway Park
1983,0.00098381,CHI10,Comiskey Park I
1983,-0.00832698,CHI11,Wrigley Field
1983,-0.00284997,CIN08,Cinergy Field
1983,-0.00253767,CLE07,Cleveland Stadium
1983,-0.00930498,DET04,Tiger Stadium
1983,-0.03645834,HOU02,Astrodome
1983,0.00161350,KAN06,Kauffman Stadium
1983,-0.03031281,LOS03,Dodger Stadium
1983,-0.01765889,MIL05,County Stadium
1983,0.01980493,MIN03,Hubert H. Humphrey Metrodome
1983,-0.01074135,MON02,Stade Olympique
1983,-0.00891190,NYC16,Yankee Stadium I
1983,-0.02065063,NYC17,Shea Stadium
1983,-0.00498406,OAK01,Oakland-Alameda County Coliseum
1983,-0.01422585,PHI12,Veterans Stadium
1983,-0.01153973,PIT07,Three Rivers Stadium
1983,-0.02330197,SAN01,Qualcomm Stadium
1983,0.00675671,SEA02,Kingdome
1983,-0.01183403,SFO02,Candlestick Park
1983,-0.00982312,STL09,Busch Stadium II
1983,0.02953750,TOR01,Exhibition Stadium
1984,-0.00358405,ARL01,Arlington Stadium
1984,-0.00168667,ATL01,Atlanta-Fulton County Stadium
1984,-0.00718358,BAL11,Memorial Stadium
1984,0.02052969,BOS07,Fenway Park
1984,0.00317080,CHI10,Comiskey Park I
1984,-0.00954756,CHI11,Wrigley Field
1984,-0.00964063,CIN08,Cinergy Field
1984,-0.00085031,CLE07,Cleveland Stadium
1984,-0.01208900,DET04,Tiger Stadium
1984,-0.03730744,HOU02,Astrodome
1984,-0.01201295,KAN06,Kauffman Stadium
1984,-0.04079177,LOS03,Dodger Stadium
1984,-0.02024696,MIL05,County Stadium
1984,0.02636701,MIN03,Hubert H. Humphrey Metrodome
1984,-0.03591698,MON02,Stade Olympique
1984,-0.01335722,NYC16,Yankee Stadium I
1984,-0.02322419,NYC17,Shea Stadium
1984,-0.01524649,OAK01,Oakland-Alameda County Coliseum
1984,-0.01450133,PHI12,Veterans Stadium
1984,-0.03536384,PIT07,Three Rivers Stadium
1984,-0.01609544,SAN01,Qualcomm Stadium
1984,0.00526386,SEA02,Kingdome
1984,-0.02596072,SFO02,Candlestick Park
1984,-0.03633641,STL09,Busch Stadium II
1984,0.00182877,TOR01,Exhibition Stadium
1985,0.01268924,ARL01,Arlington Stadium
1985,-0.00748231,ATL01,Atlanta-Fulton County Stadium
1985,0.00429947,BAL11,Memorial Stadium
1985,0.01843438,BOS07,Fenway Park
1985,0.00260437,CHI10,Comiskey Park I
1985,0.02449112,CHI11,Wrigley Field
1985,-0.00361306,CIN08,Cinergy Field
1985,-0.00450628,CLE07,Cleveland Stadium
1985,0.00744928,DET04,Tiger Stadium
1985,-0.03094501,HOU02,Astrodome
1985,0.00042382,KAN06,Kauffman Stadium
1985,-0.04686854,LOS03,Dodger Stadium
1985,-0.00459336,MIL05,County Stadium
1985,0.02322001,MIN03,Hubert H. Humphrey Metrodome
1985,-0.01478746,MON02,Stade Olympique
1985,0.00457380,NYC16,Yankee Stadium I
1985,-0.01841981,NYC17,Shea Stadium
1985,-0.01508800,OAK01,Oakland-Alameda County Coliseum
1985,-0.00858248,PHI12,Veterans Stadium
1985,-0.00203274,PIT07,Three Rivers Stadium
1985,-0.01146502,SAN01,Qualcomm Stadium
1985,0.00459491,SEA02,Kingdome
1985,-0.03327328,SFO02,Candlestick Park
1985,-0.00948891,STL09,Busch Stadium II
1985,0.01265060,TOR01,Exhibition Stadium
1986,-0.01298532,ARL01,Arlington Stadium
1986,-0.01310315,ATL01,Atlanta-Fulton County Stadium
1986,0.00011861,BAL11,Memorial Stadium
1986,0.00596869,BOS07,Fenway Park
1986,0.00273719,CHI10,Comiskey Park I
1986,-0.00486480,CHI11,Wrigley Field
1986,-0.00681759,CIN08,Cinergy Field
1986,0.00116097,CLE07,Cleveland Stadium
1986,-0.00943802,DET04,Tiger Stadium
1986,-0.03378900,HOU02,Astrodome
1986,0.00268717,KAN06,Kauffman Stadium
1986,-0.04047714,LOS03,Dodger Stadium
1986,-0.02751886,MIL05,County Stadium
1986,0.01605678,MIN03,Hubert H. Humphrey Metrodome
1986,-0.01817993,MON02,Stade Olympique
1986,0.00242019,NYC16,Yankee Stadium I
1986,-0.02427780,NYC17,Shea Stadium
1986,0.00131087,OAK01,Oakland-Alameda County Coliseum
1986,-0.00707009,PHI12,Veterans Stadium
1986,-0.01300981,PIT07,Three Rivers Stadium
1986,-0.00706461,SAN01,Qualcomm Stadium
1986,0.01532151,SEA02,Kingdome
1986,-0.01535030,SFO02,Candlestick Park
1986,-0.01673224,STL09,Busch Stadium II
1986,0.01499555,TOR01,Exhibition Stadium
1987,0.00872441,ARL01,Arlington Stadium
1987,-0.00602992,ATL01,Atlanta-Fulton County Stadium
1987,-0.00623071,BAL11,Memorial Stadium
1987,0.00457155,BOS07,Fenway Park
1987,0.01517217,CHI10,Comiskey Park I
1987,-0.00966772,CHI11,Wrigley Field
1987,-0.01645828,CIN08,Cinergy Field
1987,-0.01028166,CLE07,Cleveland Stadium
1987,-0.00622694,DET04,Tiger Stadium
1987,-0.03879903,HOU02,Astrodome
1987,-0.01193328,KAN06,Kauffman Stadium
1987,-0.07425685,LOS03,Dodger Stadium
1987,-0.00721253,MIL05,County Stadium
1987,0.01099110,MIN03,Hubert H. Humphrey Metrodome
1987,-0.02464929,MON02,Stade Olympique
1987,0.00074339,NYC16,Yankee Stadium I
1987,-0.01941221,NYC17,Shea Stadium
1987,-0.02735731,OAK01,Oakland-Alameda County Coliseum
1987,-0.02015323,PHI12,Veterans Stadium
1987,-0.00854349,PIT07,Three Rivers Stadium
1987,-0.02692630,SAN01,Qualcomm Stadium
1987,0.00356711,SEA02,Kingdome
1987,-0.01974208,SFO02,Candlestick Park
1987,-0.04156198,STL09,Busch Stadium II
1987,-0.01315049,TOR01,Exhibition Stadium
1988,0.01691913,ARL01,Arlington Stadium
1988,-0.00435580,ATL01,Atlanta-Fulton County Stadium
1988,0.00611818,BAL11,Memorial Stadium
1988,0.03677233,BOS07,Fenway Park
1988,-0.00091535,CHI10,Comiskey Park I
1988,0.00620603,CHI11,Wrigley Field
1988,0.01036526,CIN08,Cinergy Field
1988,0.00100673,CLE07,Cleveland Stadium
1988,0.01179239,DET04,Tiger Stadium
1988,-0.03217565,HOU02,Astrodome
1988,-0.00023057,KAN06,Kauffman Stadium
1988,0.00018879,LOS03,Dodger Stadium
1988,0.00967850,MIL05,County Stadium
1988,0.03710723,MIN03,Hubert H. Humphrey Metrodome
1988,0.00950669,MON02,Stade Olympique
1988,0.01399662,NYC16,Yankee Stadium I
1988,-0.01685093,NYC17,Shea Stadium
1988,-0.00366210,OAK01,Oakland-Alameda County Coliseum
1988,-0.01693215,PHI12,Veterans Stadium
1988,-0.00753207,PIT07,Three Rivers Stadium
1988,0.00312063,SAN01,Qualcomm Stadium
1988,0.02766056,SEA02,Kingdome
1988,-0.02643597,SFO02,Candlestick Park
1988,-0.01304128,STL09,Busch Stadium II
1988,0.01615789,TOR01,Exhibition Stadium
1989,-0.01202345,ARL01,Arlington Stadium
1989,-0.01546499,ATL01,Atlanta-Fulton County Stadium
1989,0.00044483,BAL11,Memorial Stadium
1989,0.02215156,BOS07,Fenway Park
1989,-0.00607800,CHI10,Comiskey Park I
1989,0.00494592,CHI11,Wrigley Field
1989,0.00711921,CIN08,Cinergy Field
1989,-0.00296025,CLE07,Cleveland Stadium
1989,0.01994720,DET04,Tiger Stadium
1989,-0.00845561,HOU02,Astrodome
1989,-0.01616388,KAN06,Kauffman Stadium
1989,-0.02800059,LOS03,Dodger Stadium
1989,-0.02104995,MIL05,County Stadium
1989,0.02573775,MIN03,Hubert H. Humphrey Metrodome
1989,-0.02630490,MON02,Stade Olympique
1989,0.03801371,NYC16,Yankee Stadium I
1989,-0.00977814,NYC17,Shea Stadium
1989,-0.01086449,OAK01,Oakland-Alameda County Coliseum
1989,-0.00654545,PHI12,Veterans Stadium
1989,-0.01021336,PIT07,Three Rivers Stadium
1989,-0.00867238,SAN01,Qualcomm Stadium
1989,0.01682864,SEA02,Kingdome
1989,-0.01010262,SFO02,Candlestick Park
1989,-0.00095885,STL09,Busch Stadium II
1989,0.00237491,TOR01,Exhibition Stadium
1989,-0.01440667,TOR02,Rogers Centre
1990,-0.00438915,ARL01,Arlington Stadium
1990,-0.00413156,ATL01,Atlanta-Fulton County Stadium
1990,-0.00273350,BAL11,Memorial Stadium
1990,0.02167225,BOS07,Fenway Park
1990,-0.01151101,CHI10,Comiskey Park I
1990,0.00742269,CHI11,Wrigley Field
1990,-0.02124471,CIN08,Cinergy Field
1990,-0.00802690,CLE07,Cleveland Stadium
1990,-0.00735505,DET04,Tiger Stadium
1990,-0.03200912,HOU02,Astrodome
1990,0.00683765,KAN06,Kauffman Stadium
1990,-0.01842010,LOS03,Dodger Stadium
1990,-0.01475650,MIL05,County Stadium
1990,0.01315478,MIN03,Hubert H. Humphrey Metrodome
1990,-0.01632695,MON02,Stade Olympique
1990,0.00484445,NYC16,Yankee Stadium I
1990,-0.03228149,NYC17,Shea Stadium
1990,-0.03181988,OAK01,Oakland-Alameda County Coliseum
1990,-0.00933650,PHI12,Veterans Stadium
1990,-0.02465518,PIT07,Three Rivers Stadium
1990,-0.02517190,SAN01,Qualcomm Stadium
1990,0.00214927,SEA02,Kingdome
1990,-0.00941851,SFO02,Candlestick Park
1990,-0.01344698,STL09,Busch Stadium II
1990,0.01140061,TOR02,Rogers Centre
1991,0.01032855,ARL01,Arlington Stadium
1991,0.02449693,ATL01,Atlanta-Fulton County Stadium
1991,0.02052141,BAL11,Memorial Stadium
1991,0.04562100,BOS07,Fenway Park
1991,0.01906275,CHI11,Wrigley Field
1991,0.02613573,CHI12,U.S. Cellular Field
1991,0.02341538,CIN08,Cinergy Field
1991,0.01846739,CLE07,Cleveland Stadium
1991,0.04498199,DET04,Tiger Stadium
1991,-0.00392972,HOU02,Astrodome
1991,0.01558637,KAN06,Kauffman Stadium
1991,0.01037390,LOS03,Dodger Stadium
1991,0.03334782,MIL05,County Stadium
