daytime,ExitSpeed,VExitAngle,HExitAngle,Carry,Bearing,HangTime,rho,hand,outcome,slg,LW,
168.88481,42.1,-8.3,35.4,17.2,30.8,0.238,5.126E-03,Left,Bunt Ground Out,0,-0.289,
262.63815,93.7,-18.9,75.4,6.6,45.9,0.060,5.182E-03,Left,Bunt Pop Out,0,-0.289,
178.56747,86.6,7.9,-3.2,154.7,-8.3,1.420,5.088E-03,Left,Double Play,0,-0.289,
182.81144,47.4,28.6,5.3,128.4,2.3,2.548,5.221E-03,Left,Double Play,0,-0.289,
263.93632,82.2,7.2,-13.1,129.7,-16.3,1.219,5.330E-03,Right,Double Play,0,-0.289,
212.80229,78.2,-3.2,-38.5,36.2,-41.5,0.320,5.221E-03,Left,Fan interference,0,-0.289,
244.87770,96.8,9.4,37.8,194.8,44.9,1.663,5.320E-03,Left,Fan interference,0,-0.289,
179.55458,79.9,2.2,-9.8,63.5,-13.5,0.573,5.163E-03,Left,Field Error,0,-0.289,
179.59626,60.7,14.4,8.4,96.2,6.7,1.247,5.163E-03,Left,Field Error,0,-0.289,
180.86333,93.3,-0.5,16.9,70.4,15.5,0.640,5.144E-03,Left,Field Error,0,-0.289,
209.86391,94.3,1.1,-16.6,44.6,-18.0,0.328,5.280E-03,Right,Field Error,0,-0.289,
254.81411,55.6,28.4,-19.5,126.0,-21.6,1.996,5.240E-03,Right,Field Error,0,-0.289,
255.74487,91.6,-11.4,6.3,13.3,0.7,0.093,5.192E-03,Left,Field Error,0,-0.289,
263.88490,62.0,9.7,-9.0,87.4,-14.7,1.098,5.330E-03,Left,Field Error,0,-0.289,
277.60699,82.5,4.5,-26.9,88.3,-31.3,0.790,5.381E-03,Right,Field Error,0,-0.289,
277.64576,79.5,-13.2,-21.5,12.8,-26.2,0.097,5.381E-03,Right,Field Error,0,-0.289,
182.89325,76.7,-12.1,-13.1,6.9,-12.3,0.055,5.221E-03,Right,Fielders Choice,0,-0.289,
178.55117,93.3,-8.1,7.7,10.2,8.6,0.080,5.088E-03,Right,Fielders Choice Out,0,-0.289,
179.59686,100.2,-2.2,23.0,24.2,21.7,0.176,5.163E-03,Right,Fielders Choice Out,0,-0.289,
199.76875,57.1,4.0,-10.6,59.8,-12.6,0.739,5.290E-03,Right,Fielders Choice Out,0,-0.289,
228.62103,59.4,9.5,27.8,64.7,27.8,0.810,5.135E-03,Left,Fielders Choice Out,0,-0.289,
255.68948,89.0,-1.5,-7.9,36.6,-9.9,0.274,5.192E-03,Left,Fielders Choice Out,0,-0.289,
168.85826,81.1,24.9,12.0,277.6,22.8,3.739,5.126E-03,Right,Fly Out,0,-0.289,
168.88645,96.0,28.0,-17.0,387.6,-22.1,4.932,5.126E-03,Right,Fly Out,0,-0.289,
177.83206,99.2,17.6,11.3,352.7,8.3,3.505,5.088E-03,Left,Fly Out,0,-0.289,
177.83606,78.1,21.8,-4.6,276.8,-1.3,3.687,5.088E-03,Right,Fly Out,0,-0.289,
177.83913,94.4,33.7,6.9,379.1,14.3,5.472,5.088E-03,Right,Fly Out,0,-0.289,
177.83971,90.0,25.5,-16.0,340.8,-29.1,4.464,5.088E-03,Left,Fly Out,0,-0.289,
177.84264,87.4,-22.3,51.2,7.6,38.7,0.060,5.088E-03,Left,Fly Out,0,-0.289,
177.84473,95.1,36.0,-7.3,361.1,-10.2,5.509,5.088E-03,Right,Fly Out,0,-0.289,
177.87397,105.0,17.6,6.8,331.3,3.1,3.207,5.088E-03,Left,Fly Out,0,-0.289,
178.54126,96.2,24.6,3.3,370.3,-3.0,4.579,5.088E-03,Left,Fly Out,0,-0.289,
178.55628,97.6,20.1,1.4,362.9,-3.8,4.113,5.088E-03,Left,Fly Out,0,-0.289,
